kor_co_nm,fin_prdt_nm,join_way,pnsn_kind_nm,prdt_type_nm,dcls_rate,guar_rate,btrm_prft_rate_1,btrm_prft_rate_2,btrm_prft_rate_3,etc,pnsn_recp_trm_nm,pnsn_entr_age_nm,mon_paym_atm_nm,paym_prd_nm,pnsn_strt_age_nm,etc_available,etc_clean,search_text
삼성자산운용,삼성누버거버먼차이나증권자투자신탁H[주식-재간접형]_C-P,"영업점,인터넷,스마트폰,모집인",연금저축펀드,재간접형,,,29.64,-20.88,56.62,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 삼성누버거버먼차이나증권자투자신탁H[주식-재간접형]_C-P
금융회사: 삼성자산운용
연금종류: 연금저축펀드
상품유형: 재간접형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 29.64%
과거수익률2년: -20.88%
과거수익률3년: 56.62%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인"
미래에셋자산운용,미래에셋가치주포커스연금저축증권전환형자투자신탁1호(주식)종류C-e,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",연금저축펀드,주식형,,,6.03,-17.94,26.95,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 미래에셋가치주포커스연금저축증권전환형자투자신탁1호(주식)종류C-e
금융회사: 미래에셋자산운용
연금종류: 연금저축펀드
상품유형: 주식형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 6.03%
과거수익률2년: -17.94%
과거수익률3년: 26.95%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
피델리티자산운용,피델리티차이나컨슈머증권자투자신탁(주식-재간접형)종류PRS,영업점,연금저축펀드,재간접형,,,21.44,-21.57,47.88,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 피델리티차이나컨슈머증권자투자신탁(주식-재간접형)종류PRS
금융회사: 피델리티자산운용
연금종류: 연금저축펀드
상품유형: 재간접형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 21.44%
과거수익률2년: -21.57%
과거수익률3년: 47.88%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
미래에셋자산운용,미래에셋가치주포커스연금저축증권전환형자투자신탁1호(주식)종류C,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",연금저축펀드,주식형,,,5.5,-18.29,26.23,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 미래에셋가치주포커스연금저축증권전환형자투자신탁1호(주식)종류C
금융회사: 미래에셋자산운용
연금종류: 연금저축펀드
상품유형: 주식형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 5.5%
과거수익률2년: -18.29%
과거수익률3년: 26.23%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
이스트스프링자산운용코리아,이스트스프링차이나드래곤AShare증권자투자신탁(H)[주식]클래스C-P2(연금저축),영업점,연금저축펀드,주식형,,,31.94,-25.7,14.39,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 이스트스프링차이나드래곤AShare증권자투자신탁(H)[주식]클래스C-P2(연금저축)
금융회사: 이스트스프링자산운용코리아
연금종류: 연금저축펀드
상품유형: 주식형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 31.94%
과거수익률2년: -25.7%
과거수익률3년: 14.39%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
케이씨지아이자산운용 주식회사,메리츠글로벌헬스케어증권투자신탁[주식]종류C-Pe,영업점,연금저축펀드,주식형,,,23.39,-8.46,1.95,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 메리츠글로벌헬스케어증권투자신탁[주식]종류C-Pe
금융회사: 케이씨지아이자산운용 주식회사
연금종류: 연금저축펀드
상품유형: 주식형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 23.39%
과거수익률2년: -8.46%
과거수익률3년: 1.95%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
미래에셋자산운용,미래에셋글로벌솔루션증권자투자신탁(주식-재간접형)종류C-P,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",연금저축펀드,재간접형,,,26.65,-15.52,16.95,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 미래에셋글로벌솔루션증권자투자신탁(주식-재간접형)종류C-P
금융회사: 미래에셋자산운용
연금종류: 연금저축펀드
상품유형: 재간접형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 26.65%
과거수익률2년: -15.52%
과거수익률3년: 16.95%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
삼성자산운용,삼성클래식차이나연금증권전환형자투자신탁 제1호[주식]_C,"영업점,인터넷,스마트폰,모집인",연금저축펀드,주식형,,,19.31,-15.56,37.64,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 삼성클래식차이나연금증권전환형자투자신탁 제1호[주식]_C
금융회사: 삼성자산운용
연금종류: 연금저축펀드
상품유형: 주식형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 19.31%
과거수익률2년: -15.56%
과거수익률3년: 37.64%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인"
유경PSG자산운용,유경 플레인바닐라 글로벌자산배분 증권자투자신탁(주식) Class S-P,영업점,연금저축펀드,주식형,,,0.0,0.0,0.0,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 유경 플레인바닐라 글로벌자산배분 증권자투자신탁(주식) Class S-P
금융회사: 유경PSG자산운용
연금종류: 연금저축펀드
상품유형: 주식형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 0.0%
과거수익률2년: 0.0%
과거수익률3년: 0.0%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
KB자산운용,KB 연금 중국본토 A주 증권 자투자신탁(주식) C-E 클래스,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",연금저축펀드,주식형,,,-100.0,-26.15,33.21,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: KB 연금 중국본토 A주 증권 자투자신탁(주식) C-E 클래스
금융회사: KB자산운용
연금종류: 연금저축펀드
상품유형: 주식형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: -100.0%
과거수익률2년: -26.15%
과거수익률3년: 33.21%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
미래에셋자산운용,미래에셋BRICs업종대표연금증권전환형자투자신탁1호(주식) 종류C,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",연금저축펀드,주식형,,,33.44,-13.68,31.31,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 미래에셋BRICs업종대표연금증권전환형자투자신탁1호(주식) 종류C
금융회사: 미래에셋자산운용
연금종류: 연금저축펀드
상품유형: 주식형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 33.44%
과거수익률2년: -13.68%
과거수익률3년: 31.31%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
케이씨지아이자산운용 주식회사,메리츠샐러리맨증권자투자신탁[주식-재간접형]종류C-Pe,영업점,연금저축펀드,재간접형,,,16.41,-21.74,0.0,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 메리츠샐러리맨증권자투자신탁[주식-재간접형]종류C-Pe
금융회사: 케이씨지아이자산운용 주식회사
연금종류: 연금저축펀드
상품유형: 재간접형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 16.41%
과거수익률2년: -21.74%
과거수익률3년: 0.0%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
우리자산운용 주식회사,우리중소형고배당증권자투자신탁1호(주식)ClassC-P1,영업점,연금저축펀드,주식형,,,49.07,-22.54,13.84,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 우리중소형고배당증권자투자신탁1호(주식)ClassC-P1
금융회사: 우리자산운용 주식회사
연금종류: 연금저축펀드
상품유형: 주식형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 49.07%
과거수익률2년: -22.54%
과거수익률3년: 13.84%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
KB자산운용,KB 연금 중국본토 A주 증권 자투자신탁(주식) C 클래스,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",연금저축펀드,주식형,,,-100.0,-26.52,32.6,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: KB 연금 중국본토 A주 증권 자투자신탁(주식) C 클래스
금융회사: KB자산운용
연금종류: 연금저축펀드
상품유형: 주식형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: -100.0%
과거수익률2년: -26.52%
과거수익률3년: 32.6%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
미래에셋자산운용,미래에셋전략배분TDF2045혼합자산자투자신탁 종류C-Pe,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",연금저축펀드,혼합자산,,,21.19,-12.55,14.68,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 미래에셋전략배분TDF2045혼합자산자투자신탁 종류C-Pe
금융회사: 미래에셋자산운용
연금종류: 연금저축펀드
상품유형: 혼합자산
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 21.19%
과거수익률2년: -12.55%
과거수익률3년: 14.68%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
미래에셋자산운용,미래에셋전략배분TDF2045혼합자산자투자신탁 종류C-P,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",연금저축펀드,혼합자산,,,20.72,-12.91,14.23,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 미래에셋전략배분TDF2045혼합자산자투자신탁 종류C-P
금융회사: 미래에셋자산운용
연금종류: 연금저축펀드
상품유형: 혼합자산
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 20.72%
과거수익률2년: -12.91%
과거수익률3년: 14.23%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
미래에셋자산운용,미래에셋연금중국본토증권자투자신탁1호(주식-재간접형)종류C,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",연금저축펀드,재간접형,,,32.44,-29.02,32.66,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 미래에셋연금중국본토증권자투자신탁1호(주식-재간접형)종류C
금융회사: 미래에셋자산운용
연금종류: 연금저축펀드
상품유형: 재간접형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 32.44%
과거수익률2년: -29.02%
과거수익률3년: 32.66%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
미래에셋자산운용,미래에셋전략배분TDF2040혼합자산자투자신탁 종류C-P,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",연금저축펀드,혼합자산,,,20.39,-12.29,13.82,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 미래에셋전략배분TDF2040혼합자산자투자신탁 종류C-P
금융회사: 미래에셋자산운용
연금종류: 연금저축펀드
상품유형: 혼합자산
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 20.39%
과거수익률2년: -12.29%
과거수익률3년: 13.82%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
아이비케이자산운용,IBK 플레인바닐라 EMP 증권투자신탁[혼합-재간접형] 종류 S-P,영업점,연금저축펀드,재간접형,,,16.79,0.0,0.0,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: IBK 플레인바닐라 EMP 증권투자신탁[혼합-재간접형] 종류 S-P
금융회사: 아이비케이자산운용
연금종류: 연금저축펀드
상품유형: 재간접형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 16.79%
과거수익률2년: 0.0%
과거수익률3년: 0.0%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
아이비케이자산운용,IBK 플레인바닐라 EMP 증권투자신탁[혼합-재간접형] 종류 C-Pe,영업점,연금저축펀드,재간접형,,,16.7,0.0,0.0,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: IBK 플레인바닐라 EMP 증권투자신탁[혼합-재간접형] 종류 C-Pe
금융회사: 아이비케이자산운용
연금종류: 연금저축펀드
상품유형: 재간접형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 16.7%
과거수익률2년: 0.0%
과거수익률3년: 0.0%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
미래에셋자산운용,미래에셋전략배분TDF2035년혼합자산자투자신탁 종류C-Pe,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",연금저축펀드,혼합자산,,,19.8,-11.09,13.0,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 미래에셋전략배분TDF2035년혼합자산자투자신탁 종류C-Pe
금융회사: 미래에셋자산운용
연금종류: 연금저축펀드
상품유형: 혼합자산
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 19.8%
과거수익률2년: -11.09%
과거수익률3년: 13.0%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
미래에셋자산운용,미래에셋고배당포커스연금저축증권전환형자투자신탁1호(주식)종류C-e,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",연금저축펀드,주식형,,,16.44,-12.53,22.32,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 미래에셋고배당포커스연금저축증권전환형자투자신탁1호(주식)종류C-e
금융회사: 미래에셋자산운용
연금종류: 연금저축펀드
상품유형: 주식형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 16.44%
과거수익률2년: -12.53%
과거수익률3년: 22.32%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
미래에셋자산운용,미래에셋전략배분TDF2035년혼합자산자투자신탁 종류C-P,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",연금저축펀드,혼합자산,,,19.44,-11.36,12.68,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 미래에셋전략배분TDF2035년혼합자산자투자신탁 종류C-P
금융회사: 미래에셋자산운용
연금종류: 연금저축펀드
상품유형: 혼합자산
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 19.44%
과거수익률2년: -11.36%
과거수익률3년: 12.68%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
삼성자산운용,삼성클래식차이나본토연금증권자투자신탁H[주식]_C,"영업점,인터넷,스마트폰,모집인",연금저축펀드,주식형,,,29.34,-26.16,22.9,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 삼성클래식차이나본토연금증권자투자신탁H[주식]_C
금융회사: 삼성자산운용
연금종류: 연금저축펀드
상품유형: 주식형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 29.34%
과거수익률2년: -26.16%
과거수익률3년: 22.9%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인"
미래에셋자산운용,미래에셋고배당포커스연금저축증권전환형자투자신탁1호(주식)종류C,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",연금저축펀드,주식형,,,15.89,-12.92,21.68,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 미래에셋고배당포커스연금저축증권전환형자투자신탁1호(주식)종류C
금융회사: 미래에셋자산운용
연금종류: 연금저축펀드
상품유형: 주식형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 15.89%
과거수익률2년: -12.92%
과거수익률3년: 21.68%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
삼성자산운용,삼성클래식차이나본토연금증권자투자신탁H[주식]_Ce,"영업점,인터넷,스마트폰,모집인",연금저축펀드,주식형,,,29.93,-25.8,23.46,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 삼성클래식차이나본토연금증권자투자신탁H[주식]_Ce
금융회사: 삼성자산운용
연금종류: 연금저축펀드
상품유형: 주식형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 29.93%
과거수익률2년: -25.8%
과거수익률3년: 23.46%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인"
아이비케이자산운용,IBK 플레인바닐라 EMP 증권투자신탁[혼합-재간접형] 종류C-P,영업점,연금저축펀드,재간접형,,,15.41,0.0,0.0,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: IBK 플레인바닐라 EMP 증권투자신탁[혼합-재간접형] 종류C-P
금융회사: 아이비케이자산운용
연금종류: 연금저축펀드
상품유형: 재간접형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 15.41%
과거수익률2년: 0.0%
과거수익률3년: 0.0%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
한화자산운용,한화연금증권전환형투자신탁(주식)종류C,영업점,연금저축펀드,주식형,,,10.41,-21.18,21.68,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 한화연금증권전환형투자신탁(주식)종류C
금융회사: 한화자산운용
연금종류: 연금저축펀드
상품유형: 주식형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 10.41%
과거수익률2년: -21.18%
과거수익률3년: 21.68%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
한국투자밸류자산운용,한국밸류10년투자배당증권자투자신탁(주식)C-P,영업점,연금저축펀드,주식형,,,14.85,-11.8,8.54,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 한국밸류10년투자배당증권자투자신탁(주식)C-P
금융회사: 한국투자밸류자산운용
연금종류: 연금저축펀드
상품유형: 주식형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 14.85%
과거수익률2년: -11.8%
과거수익률3년: 8.54%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
한화자산운용,한화연금저축글로벌헬스케어증권 자투자신탁(주식) C-e,영업점,연금저축펀드,주식형,,,13.98,-4.33,16.02,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 한화연금저축글로벌헬스케어증권 자투자신탁(주식) C-e
금융회사: 한화자산운용
연금종류: 연금저축펀드
상품유형: 주식형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 13.98%
과거수익률2년: -4.33%
과거수익률3년: 16.02%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
미래에셋자산운용,미래에셋인도중소형포커스증권자투자신탁1호(주식)종류C-p,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",연금저축펀드,주식형,,,13.14,-10.79,40.77,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 미래에셋인도중소형포커스증권자투자신탁1호(주식)종류C-p
금융회사: 미래에셋자산운용
연금종류: 연금저축펀드
상품유형: 주식형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 13.14%
과거수익률2년: -10.79%
과거수익률3년: 40.77%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
미래에셋자산운용,미래에셋전략배분TDF2030년혼합자산자투자신탁 종류C-Pe,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",연금저축펀드,혼합자산,,,17.66,-9.69,11.59,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 미래에셋전략배분TDF2030년혼합자산자투자신탁 종류C-Pe
금융회사: 미래에셋자산운용
연금종류: 연금저축펀드
상품유형: 혼합자산
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 17.66%
과거수익률2년: -9.69%
과거수익률3년: 11.59%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
한화자산운용,한화연금저축글로벌헬스케어증권 자투자신탁(주식) 종류C,영업점,연금저축펀드,주식형,,,13.48,-4.64,15.7,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 한화연금저축글로벌헬스케어증권 자투자신탁(주식) 종류C
금융회사: 한화자산운용
연금종류: 연금저축펀드
상품유형: 주식형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 13.48%
과거수익률2년: -4.64%
과거수익률3년: 15.7%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
피델리티자산운용,피델리티글로벌배당인컴증권자투자신탁(주식-재간접형)종류S-PRS,영업점,연금저축펀드,재간접형,,,23.68,-2.17,9.55,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 피델리티글로벌배당인컴증권자투자신탁(주식-재간접형)종류S-PRS
금융회사: 피델리티자산운용
연금종류: 연금저축펀드
상품유형: 재간접형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 23.68%
과거수익률2년: -2.17%
과거수익률3년: 9.55%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
미래에셋자산운용,미래에셋전략배분TDF2030년혼합자산자투자신탁 종류C-P,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",연금저축펀드,혼합자산,,,17.37,-9.92,11.32,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 미래에셋전략배분TDF2030년혼합자산자투자신탁 종류C-P
금융회사: 미래에셋자산운용
연금종류: 연금저축펀드
상품유형: 혼합자산
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 17.37%
과거수익률2년: -9.92%
과거수익률3년: 11.32%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
피델리티자산운용,피델리티글로벌배당인컴증권자투자신탁(주식-재간접형)종류PRS,영업점,연금저축펀드,재간접형,,,23.24,-2.54,9.17,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 피델리티글로벌배당인컴증권자투자신탁(주식-재간접형)종류PRS
금융회사: 피델리티자산운용
연금종류: 연금저축펀드
상품유형: 재간접형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 23.24%
과거수익률2년: -2.54%
과거수익률3년: 9.17%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
피델리티자산운용,피델리티글로벌배당인컴증권자투자신탁(주식-재간접형)종류PRS-e,인터넷,연금저축펀드,재간접형,,,23.54,-2.29,9.41,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 피델리티글로벌배당인컴증권자투자신탁(주식-재간접형)종류PRS-e
금융회사: 피델리티자산운용
연금종류: 연금저축펀드
상품유형: 재간접형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 23.54%
과거수익률2년: -2.29%
과거수익률3년: 9.41%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 인터넷"
미래에셋자산운용,미래에셋전략배분TDF솔루션혼합자산자투자신탁 종류C-Pe,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",연금저축펀드,혼합자산,,,12.61,-13.21,0.0,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 미래에셋전략배분TDF솔루션혼합자산자투자신탁 종류C-Pe
금융회사: 미래에셋자산운용
연금종류: 연금저축펀드
상품유형: 혼합자산
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 12.61%
과거수익률2년: -13.21%
과거수익률3년: 0.0%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
신한자산운용주식회사,신한BNPP해피라이프연금글로벌ETF증권전환형자투자신탁제1호[주식-재간접형](종류C1),영업점,연금저축펀드,재간접형,,,17.99,-14.09,18.19,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 신한BNPP해피라이프연금글로벌ETF증권전환형자투자신탁제1호[주식-재간접형](종류C1)
금융회사: 신한자산운용주식회사
연금종류: 연금저축펀드
상품유형: 재간접형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 17.99%
과거수익률2년: -14.09%
과거수익률3년: 18.19%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
한국투자신탁운용,한국투자TDF알아서2045증권투자신탁(주식혼합-재간접형)(C-P),영업점,연금저축펀드,재간접형,,,18.52,-13.09,13.26,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 한국투자TDF알아서2045증권투자신탁(주식혼합-재간접형)(C-P)
금융회사: 한국투자신탁운용
연금종류: 연금저축펀드
상품유형: 재간접형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 18.52%
과거수익률2년: -13.09%
과거수익률3년: 13.26%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
