kor_co_nm,fin_prdt_nm,join_way,mtrt_int,spcl_cnd,join_deny,join_member,etc_note,max_limit,save_trm,intr_rate,intr_rate2,search_text
OSB저축은행,정기예금,영업점,"-만기후 1개월 이내 : 가입 시 약정금리와 만기 시 동일 상품의 금리 중 낮은 금리 적용
-만기후 1개월 경과 : 보통예금 금리 적용",없음,1,제한없음,"-가입금액 : 10만원 이상
-시장금리에 변동없는 최초 약정금리로 이자 수령",,1,1.2,1.2,"상품명: 정기예금
금융회사: OSB저축은행
기본금리: 1.2%
최고금리: 1.2%
저축기간: 1개월
최고한도: nan
우대조건: 없음
가입제한: 1
가입대상: 제한없음
가입방법: 영업점"
OSB저축은행,인터넷정기예금,"인터넷,스마트폰","-만기후 1개월 이내 : 가입 시 약정금리와 만기 시 동일 상품의 금리 중 낮은 금리 적용
-만기후 1개월 경과 : 보통예금 금리 적용",없음,1,제한없음,"-가입금액 : 10만원 이상
-시장금리에 변동없는 최초 약정금리로 이자 수령",,1,1.2,1.2,"상품명: 인터넷정기예금
금융회사: OSB저축은행
기본금리: 1.2%
최고금리: 1.2%
저축기간: 1개월
최고한도: nan
우대조건: 없음
가입제한: 1
가입대상: 제한없음
가입방법: 인터넷,스마트폰"
OSB저축은행,OSB회전식정기예금,영업점,"-만기후 1개월 이내 : 마지막 회전주기의 약정이율과 동일상품 신규 약정 이율 중 낮은 이율 적용
-만기후 1개월 경과 : 보통예금 금리 적용",없음,1,제한없음,"-가입금액 : 100만원 이상
-금리 
1) 가입시점 : 가입일에 고시된 12개월 정기예금 고시이율
2) 회전기간 도래시점 : 매 회전기간 시작일에 고시된 12개월 정기예금 고시이율
(회전도래일이 휴일 경우 다음 회전주기의 이자율은 휴일 전영업일의 금리 적용)",,36,3.2,3.2,"상품명: OSB회전식정기예금
금융회사: OSB저축은행
기본금리: 3.2%
최고금리: 3.2%
저축기간: 36개월
최고한도: nan
우대조건: 없음
가입제한: 1
가입대상: 제한없음
가입방법: 영업점"
OSB저축은행,인터넷OSB회전식정기예금,"인터넷,스마트폰","-만기후 1개월 이내 : 마지막 회전주기의 약정이율과 동일상품 신규 약정 이율 중 낮은 이율 적용
-만기후 1개월 경과 : 보통예금 금리 적용",없음,1,제한없음,"-가입금액 : 100만원 이상
-금리 
1) 가입시점 : 가입일에 고시된 12개월 정기예금 고시이율
2) 회전기간 도래시점 : 매 회전기간 시작일에 고시된 12개월 정기예금 고시이율
(회전도래일이 휴일 경우 다음 회전주기의 이자율은 휴일 전영업일의 금리 적용)",,36,3.25,3.25,"상품명: 인터넷OSB회전식정기예금
금융회사: OSB저축은행
기본금리: 3.25%
최고금리: 3.25%
저축기간: 36개월
최고한도: nan
우대조건: 없음
가입제한: 1
가입대상: 제한없음
가입방법: 인터넷,스마트폰"
디비저축은행,정기예금,영업점,1개월 이하 : 신규 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율 / 1개월 초과 : 0.1%,해당사항없음,1,실명의 개인/법인,최소가입금액 : 10만원이상 / 가입채널 : 영업점,,1,1.3,1.3,"상품명: 정기예금
금융회사: 디비저축은행
기본금리: 1.3%
최고금리: 1.3%
저축기간: 1개월
최고한도: nan
우대조건: 해당사항없음
가입제한: 1
가입대상: 실명의 개인/법인
가입방법: 영업점"
디비저축은행,E-정기예금,인터넷,1개월 이하 : 신규 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율 / 1개월 초과 : 0.1%,해당사항없음,1,실명의 개인/법인,최소가입금액 : 10만원이상 / 가입채널 : 인터넷뱅킹,,1,1.3,1.3,"상품명: E-정기예금
금융회사: 디비저축은행
기본금리: 1.3%
최고금리: 1.3%
저축기간: 1개월
최고한도: nan
우대조건: 해당사항없음
가입제한: 1
가입대상: 실명의 개인/법인
가입방법: 인터넷"
디비저축은행,DreamBig 정기예금,영업점,1개월 이하 : 신규 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율 / 1개월 초과 : 0.1%,해당사항없음,1,실명의 개인/법인,최소가입금액 : 10만원이상 / 가입채널 : 영업점,,12,3.0,3.0,"상품명: DreamBig 정기예금
금융회사: 디비저축은행
기본금리: 3.0%
최고금리: 3.0%
저축기간: 12개월
최고한도: nan
우대조건: 해당사항없음
가입제한: 1
가입대상: 실명의 개인/법인
가입방법: 영업점"
디비저축은행,DreamBig E-정기예금,인터넷,1개월 이하 : 신규 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율 / 1개월 초과 : 0.1%,해당사항없음,1,실명의 개인/법인,최소가입금액 : 10만원이상 / 가입채널 : 인터넷뱅킹,,12,3.0,3.0,"상품명: DreamBig E-정기예금
금융회사: 디비저축은행
기본금리: 3.0%
최고금리: 3.0%
저축기간: 12개월
최고한도: nan
우대조건: 해당사항없음
가입제한: 1
가입대상: 실명의 개인/법인
가입방법: 인터넷"
디비저축은행,M-DreamBig 정기예금,스마트폰,1개월 이하 : 신규 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율 / 1개월 초과 : 0.1%,해당사항없음,1,실명의 개인,최소가입금액 : 10만원이상 / 가입채널 : 모바일뱅킹,,12,3.0,3.0,"상품명: M-DreamBig 정기예금
금융회사: 디비저축은행
기본금리: 3.0%
최고금리: 3.0%
저축기간: 12개월
최고한도: nan
우대조건: 해당사항없음
가입제한: 1
가입대상: 실명의 개인
가입방법: 스마트폰"
디비저축은행,M-정기예금,스마트폰,1개월 이하 : 신규 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율 / 1개월 초과 : 0.1%,해당사항없음,1,실명의 개인,최소가입금액 : 10만원이상 / 가입채널 : 모바일뱅킹,,1,1.3,1.3,"상품명: M-정기예금
금융회사: 디비저축은행
기본금리: 1.3%
최고금리: 1.3%
저축기간: 1개월
최고한도: nan
우대조건: 해당사항없음
가입제한: 1
가입대상: 실명의 개인
가입방법: 스마트폰"
디비저축은행,DreamBig 정기예금(6M),영업점,1개월 이하 : 신규 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율 / 1개월 초과 : 0.1%,해당사항없음,1,실명의 개인/법인,최소가입금액 : 10만원이상 / 가입채널 : 영업점,,6,2.9,2.9,"상품명: DreamBig 정기예금(6M)
금융회사: 디비저축은행
기본금리: 2.9%
최고금리: 2.9%
저축기간: 6개월
최고한도: nan
우대조건: 해당사항없음
가입제한: 1
가입대상: 실명의 개인/법인
가입방법: 영업점"
디비저축은행,M-DreamBig 정기예금(6M),스마트폰,1개월 이하 : 신규 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율 / 1개월 초과 : 0.1%,해당사항없음,1,실명의 개인,최소가입금액 : 10만원이상 / 가입채널 : 모바일뱅킹,,6,2.9,2.9,"상품명: M-DreamBig 정기예금(6M)
금융회사: 디비저축은행
기본금리: 2.9%
최고금리: 2.9%
저축기간: 6개월
최고한도: nan
우대조건: 해당사항없음
가입제한: 1
가입대상: 실명의 개인
가입방법: 스마트폰"
스카이저축은행,정기예금,영업점,*만기후 1개월 이내(2019.07.01이후 예금가입자) : 만기시점 동일상품 동일계약기간의 신규약정금리 *만기후 1개월 초과 :보통예금이율,없음,1,제한없음,최소금액:10만원이상,,1,1.4,1.4,"상품명: 정기예금
금융회사: 스카이저축은행
기본금리: 1.4%
최고금리: 1.4%
저축기간: 1개월
최고한도: nan
우대조건: 없음
가입제한: 1
가입대상: 제한없음
가입방법: 영업점"
스카이저축은행,e-정기예금,"인터넷,스마트폰",*만기후 1개월 이내(2019.07.01이후 예금가입자) : 만기시점 동일상품 동일계약기간의 신규약정금리 *만기후 1개월 초과 :보통예금이율,없음,1,제한없음,최소금액:10만원이상,,1,1.5,1.5,"상품명: e-정기예금
금융회사: 스카이저축은행
기본금리: 1.5%
최고금리: 1.5%
저축기간: 1개월
최고한도: nan
우대조건: 없음
가입제한: 1
가입대상: 제한없음
가입방법: 인터넷,스마트폰"
스카이저축은행,b-정기예금,"인터넷,스마트폰",*만기후 1개월 이내(2019.07.01이후 예금가입자) : 만기시점 동일상품 동일계약기간의 신규약정금리 *만기후 1개월 초과 :보통예금이율,없음,1,제한없음,최소금액:10만원이상,,1,1.5,1.5,"상품명: b-정기예금
금융회사: 스카이저축은행
기본금리: 1.5%
최고금리: 1.5%
저축기간: 1개월
최고한도: nan
우대조건: 없음
가입제한: 1
가입대상: 제한없음
가입방법: 인터넷,스마트폰"
스카이저축은행,회전정기예금,영업점,*만기후 1개월 이내 : 만기시점 동일상품 동일계약기간의 신규약정금리 *만기후 1개월 초과 :보통예금이율,없음,1,제한없음,"* 최소금액:10만원이상
*계약기간 : 36개월 (회전주기 12개월) 
* 회전주기(매 1년)마다 약정이율 변동",,12,3.15,3.15,"상품명: 회전정기예금
금융회사: 스카이저축은행
기본금리: 3.15%
최고금리: 3.15%
저축기간: 12개월
최고한도: nan
우대조건: 없음
가입제한: 1
가입대상: 제한없음
가입방법: 영업점"
스카이저축은행,비대면회전정기예금,"인터넷,스마트폰",*만기후 1개월 이내 : 만기시점 동일상품 동일계약기간의 신규약정금리 *만기후 1개월 초과 :보통예금이율,없음,1,제한없음,"* 최소금액:10만원이상
*계약기간 : 36개월 (회전주기 12개월) 
* 회전주기(매 1년)마다 약정이율 변동",,12,3.1,3.1,"상품명: 비대면회전정기예금
금융회사: 스카이저축은행
기본금리: 3.1%
최고금리: 3.1%
저축기간: 12개월
최고한도: nan
우대조건: 없음
가입제한: 1
가입대상: 제한없음
가입방법: 인터넷,스마트폰"
스카이저축은행,회전(6M)정기예금,영업점,*만기후 1개월 이내 : 최종만기시점 동일기간상품 신규 약정이율 *만기후 1개월 초과 :보통예금이율,없음,1,제한없음,"* 최소금액:10만원이상
*계약기간 : 36개월 (회전주기 6개월) 
* 회전주기(6개월)마다 약정이율 변동",,6,2.3,2.3,"상품명: 회전(6M)정기예금
금융회사: 스카이저축은행
기본금리: 2.3%
최고금리: 2.3%
저축기간: 6개월
최고한도: nan
우대조건: 없음
가입제한: 1
가입대상: 제한없음
가입방법: 영업점"
스카이저축은행,비대면회전(6M)정기예금,"인터넷,스마트폰",*만기후 1개월 이내 : 최종만기시점 동일기간상품 신규 약정이율 *만기후 1개월 초과 :보통예금이율,없음,1,제한없음,"* 최소금액:10만원이상
*계약기간 : 36개월 (회전주기 6개월) 
* 회전주기(6개월)마다 약정이율 변동",,6,2.3,2.3,"상품명: 비대면회전(6M)정기예금
금융회사: 스카이저축은행
기본금리: 2.3%
최고금리: 2.3%
저축기간: 6개월
최고한도: nan
우대조건: 없음
가입제한: 1
가입대상: 제한없음
가입방법: 인터넷,스마트폰"
민국저축은행,정기예금,영업점,"- 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은 금리
- 1개월 이후 : 보통예금 금리 적용","* 최대우대금리 : 0.1%
- 창구에서 1년이상 재예치 하는 경우 + 0.1%p",1,제한없음,- 중도해지 시 가입 기간에 따라 중도해지이율이 다르게 적용됩니다.,,1,1.6,1.6,"상품명: 정기예금
금융회사: 민국저축은행
기본금리: 1.6%
최고금리: 1.6%
저축기간: 1개월
최고한도: nan
우대조건: * 최대우대금리 : 0.1%
- 창구에서 1년이상 재예치 하는 경우 + 0.1%p
가입제한: 1
가입대상: 제한없음
가입방법: 영업점"
민국저축은행,e-행복정기예금 (인터넷),인터넷,"- 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은 금리
- 1개월 이후 : 보통예금 금리 적용",- 없음,1,개인,- 중도해지 시 가입 기간에 따라 중도해지이율이 다르게 적용됩니다.,,1,1.6,1.6,"상품명: e-행복정기예금 (인터넷)
금융회사: 민국저축은행
기본금리: 1.6%
최고금리: 1.6%
저축기간: 1개월
최고한도: nan
우대조건: - 없음
가입제한: 1
가입대상: 개인
가입방법: 인터넷"
민국저축은행,비대면정기예금 (비대면),스마트폰,"- 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은 금리
- 1개월 이후 : 보통예금 금리 적용",- 없음,1,개인,"- 중도해지 시 가입 기간에 따라 중도해지이율이 다르게 적용됩니다.
- 가입가능시간(09:00~16:00)",,1,1.6,1.6,"상품명: 비대면정기예금 (비대면)
금융회사: 민국저축은행
기본금리: 1.6%
최고금리: 1.6%
저축기간: 1개월
최고한도: nan
우대조건: - 없음
가입제한: 1
가입대상: 개인
가입방법: 스마트폰"
민국저축은행,톡톡정기예금 (모바일),스마트폰,"- 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은 금리
- 1개월 이후 : 보통예금 금리 적용",- 없음,1,개인,- 중도해지 시 가입 기간에 따라 중도해지이율이 다르게 적용됩니다.,,1,1.6,1.6,"상품명: 톡톡정기예금 (모바일)
금융회사: 민국저축은행
기본금리: 1.6%
최고금리: 1.6%
저축기간: 1개월
최고한도: nan
우대조건: - 없음
가입제한: 1
가입대상: 개인
가입방법: 스마트폰"
푸른저축은행,푸른 정기예금,"영업점,인터넷,스마트폰","만기 후 보통예금 금리에 연동 (단, 만기 1개월 경과시점까지는 약정금리와 만기시점 동일상품 동일계약기간의 기본금리 중 낮은 금리 적용)","예금 가입일 기준 예금거래기간 3년 이상이며 직전 2년 평잔 10억원 이상인 고객(단, 대출관련 예금 등 제외) : 0.1%p",1,제한없음,"* 중도해지금리
1개월 미만 : 0.20%,
3개월 미만 : 1.20%,
6개월 미만 : 1.37%, 
12개월 미만 : 1.58%,
12개월 이상
- 연단위 기간 : 해당 기간별 가입시점 고시금리 적용
- 연단위 기간 초과분 : 초과기간에 해당하는 가입시점의 중도해지금리 적용 

* 우수고객 중도해지금리 : 실예치기간 기본금리 적용",,1,2.3,2.4,"상품명: 푸른 정기예금
금융회사: 푸른저축은행
기본금리: 2.3%
최고금리: 2.4%
저축기간: 1개월
최고한도: nan
우대조건: 예금 가입일 기준 예금거래기간 3년 이상이며 직전 2년 평잔 10억원 이상인 고객(단, 대출관련 예금 등 제외) : 0.1%p
가입제한: 1
가입대상: 제한없음
가입방법: 영업점,인터넷,스마트폰"
HB저축은행,정기예금,영업점,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,1,제한없음,영업점 가입 전용상품,,6,3.25,3.25,"상품명: 정기예금
금융회사: HB저축은행
기본금리: 3.25%
최고금리: 3.25%
저축기간: 6개월
최고한도: nan
우대조건: 해당사항없음
가입제한: 1
가입대상: 제한없음
가입방법: 영업점"
HB저축은행,e-정기예금,인터넷,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,1,제한없음,인터넷가입 전용상품,,6,3.25,3.25,"상품명: e-정기예금
금융회사: HB저축은행
기본금리: 3.25%
최고금리: 3.25%
저축기간: 6개월
최고한도: nan
우대조건: 해당사항없음
가입제한: 1
가입대상: 제한없음
가입방법: 인터넷"
HB저축은행,스마트정기예금,스마트폰,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,1,제한없음,스마트폰가입 전용상품,,6,3.25,3.25,"상품명: 스마트정기예금
금융회사: HB저축은행
기본금리: 3.25%
최고금리: 3.25%
저축기간: 6개월
최고한도: nan
우대조건: 해당사항없음
가입제한: 1
가입대상: 제한없음
가입방법: 스마트폰"
HB저축은행,회전정기예금,영업점,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,1,제한없음,영업점 가입 전용상품 / 계약기간 : 36개월 (회전주기 12개월),,1,1.4,1.4,"상품명: 회전정기예금
금융회사: HB저축은행
기본금리: 1.4%
최고금리: 1.4%
저축기간: 1개월
최고한도: nan
우대조건: 해당사항없음
가입제한: 1
가입대상: 제한없음
가입방법: 영업점"
HB저축은행,e-회전정기예금,인터넷,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,1,제한없음,인터넷가입 전용상품 / 계약기간 : 36개월 (회전주기 12개월),,1,1.5,1.5,"상품명: e-회전정기예금
금융회사: HB저축은행
기본금리: 1.5%
최고금리: 1.5%
저축기간: 1개월
최고한도: nan
우대조건: 해당사항없음
가입제한: 1
가입대상: 제한없음
가입방법: 인터넷"
HB저축은행,스마트회전정기예금,스마트폰,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,1,제한없음,스마트폰가입 전용상품 / 계약기간 : 36개월 (회전주기 12개월),,12,3.0,3.0,"상품명: 스마트회전정기예금
금융회사: HB저축은행
기본금리: 3.0%
최고금리: 3.0%
저축기간: 12개월
최고한도: nan
우대조건: 해당사항없음
가입제한: 1
가입대상: 제한없음
가입방법: 스마트폰"
HB저축은행,6개월 회전정기예금,영업점,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,1,제한없음,영업점 가입 전용상품 / 계약기간 : 36개월 (회전주기 6개월),,6,2.5,2.5,"상품명: 6개월 회전정기예금
금융회사: HB저축은행
기본금리: 2.5%
최고금리: 2.5%
저축기간: 6개월
최고한도: nan
우대조건: 해당사항없음
가입제한: 1
가입대상: 제한없음
가입방법: 영업점"
HB저축은행,e-6개월 회전정기예금,인터넷,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,1,제한없음,인터넷가입 전용상품 / 계약기간 : 36개월 (회전주기 6개월),,12,3.1,3.1,"상품명: e-6개월 회전정기예금
금융회사: HB저축은행
기본금리: 3.1%
최고금리: 3.1%
저축기간: 12개월
최고한도: nan
우대조건: 해당사항없음
가입제한: 1
가입대상: 제한없음
가입방법: 인터넷"
HB저축은행,스마트 6개월 회전정기예금,스마트폰,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",해당사항없음,1,제한없음,스마트폰가입 전용상품 / 계약기간 : 36개월 (회전주기 6개월),,6,2.3,2.3,"상품명: 스마트 6개월 회전정기예금
금융회사: HB저축은행
기본금리: 2.3%
최고금리: 2.3%
저축기간: 6개월
최고한도: nan
우대조건: 해당사항없음
가입제한: 1
가입대상: 제한없음
가입방법: 스마트폰"
키움예스저축은행,정기예금,영업점,"*만기후 1개월 이내 : 당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율
*만기후 1개월 초과 : 만기시점 보통예금 이율",-,1,제한없음,-,,1,1.5,1.5,"상품명: 정기예금
금융회사: 키움예스저축은행
기본금리: 1.5%
최고금리: 1.5%
저축기간: 1개월
최고한도: nan
우대조건: -
가입제한: 1
가입대상: 제한없음
가입방법: 영업점"
키움예스저축은행,"e-정기예금(인터넷뱅킹, 스마트뱅킹)","인터넷,스마트폰","*만기후 1개월 이내 : 당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율
*만기후 1개월 초과 : 만기시점 보통예금 이율",-,1,제한없음,-,,12,3.15,3.15,"상품명: e-정기예금(인터넷뱅킹, 스마트뱅킹)
금융회사: 키움예스저축은행
기본금리: 3.15%
최고금리: 3.15%
저축기간: 12개월
최고한도: nan
우대조건: -
가입제한: 1
가입대상: 제한없음
가입방법: 인터넷,스마트폰"
키움예스저축은행,SB톡톡 정기예금(비대면),스마트폰,"*만기후 1개월 이내 : 당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율
*만기후 1개월 초과 : 만기시점 보통예금 이율",-,1,제한없음,-,,12,3.1,3.1,"상품명: SB톡톡 정기예금(비대면)
금융회사: 키움예스저축은행
기본금리: 3.1%
최고금리: 3.1%
저축기간: 12개월
최고한도: nan
우대조건: -
가입제한: 1
가입대상: 제한없음
가입방법: 스마트폰"
키움예스저축은행,회전yes정기예금(1년단위 변동금리상품),영업점,"*만기후 1개월 이내 : 약정금리(최종회전금리) 또는 만기시 동일상품 신규 약정금리 중 낮은 금리
*만기후 1개월 초과 : 만기시점 보통예금 금리","*회전시점의 정기예금 12개월 금리 + 우대금리 0.1% 적용, 매1년 회전주기 단위로 약정이율이 변동
*중도해지시 회전주기 충족분에는 약정이율, 잔여기간에는 중도해지이율 적용",1,제한없음,*가입기간 36개월(회전주기 매1년),,6,2.3,2.3,"상품명: 회전yes정기예금(1년단위 변동금리상품)
금융회사: 키움예스저축은행
기본금리: 2.3%
최고금리: 2.3%
저축기간: 6개월
최고한도: nan
우대조건: *회전시점의 정기예금 12개월 금리 + 우대금리 0.1% 적용, 매1년 회전주기 단위로 약정이율이 변동
*중도해지시 회전주기 충족분에는 약정이율, 잔여기간에는 중도해지이율 적용
가입제한: 1
가입대상: 제한없음
가입방법: 영업점"
키움예스저축은행,"e-회전yes정기예금(1년단위 변동금리상품) (인터넷뱅킹, 스마트뱅킹)","인터넷,스마트폰","*만기후 1개월 이내 : 약정금리(최종회전금리) 또는 만기시 동일상품 신규 약정금리 중 낮은 금리
*만기후 1개월 초과 : 만기시점 보통예금 금리","*회전시점의 정기예금 12개월 금리 + 우대금리 0.1% 적용, 매1년 회전주기 단위로 약정이율이 변동
*중도해지시 회전주기 충족분에는 약정이율, 잔여기간에는 중도해지이율 적용",1,제한없음,*가입기간 36개월(회전주기 매1년),,12,3.0,3.0,"상품명: e-회전yes정기예금(1년단위 변동금리상품) (인터넷뱅킹, 스마트뱅킹)
금융회사: 키움예스저축은행
기본금리: 3.0%
최고금리: 3.0%
저축기간: 12개월
최고한도: nan
우대조건: *회전시점의 정기예금 12개월 금리 + 우대금리 0.1% 적용, 매1년 회전주기 단위로 약정이율이 변동
*중도해지시 회전주기 충족분에는 약정이율, 잔여기간에는 중도해지이율 적용
가입제한: 1
가입대상: 제한없음
가입방법: 인터넷,스마트폰"
키움예스저축은행,SB톡톡 회전yes정기예금(1년단위 변동금리상품) (비대면),스마트폰,"*만기후 1개월 이내 : 약정금리(최종회전금리) 또는 만기시 동일상품 신규 약정금리 중 낮은 금리
*만기후 1개월 초과 : 만기시점 보통예금 금리","*회전시점의 정기예금 12개월 금리 + 우대금리 0.1% 적용, 매1년 회전주기 단위로 약정이율이 변동
*중도해지시 회전주기 충족분에는 약정이율, 잔여기간에는 중도해지이율 적용",1,제한없음,*가입기간 36개월(회전주기 매1년),,12,3.0,3.0,"상품명: SB톡톡 회전yes정기예금(1년단위 변동금리상품) (비대면)
금융회사: 키움예스저축은행
기본금리: 3.0%
최고금리: 3.0%
저축기간: 12개월
최고한도: nan
우대조건: *회전시점의 정기예금 12개월 금리 + 우대금리 0.1% 적용, 매1년 회전주기 단위로 약정이율이 변동
*중도해지시 회전주기 충족분에는 약정이율, 잔여기간에는 중도해지이율 적용
가입제한: 1
가입대상: 제한없음
가입방법: 스마트폰"
더케이저축은행,정기예금,영업점,"-30일 이내 : 약정금리와 현행 고시금리중 낮은 이율
-30일 이후 : 보통예금 이율",없음,1,제한없음,없음,,1,1.0,1.0,"상품명: 정기예금
금융회사: 더케이저축은행
기본금리: 1.0%
최고금리: 1.0%
저축기간: 1개월
최고한도: nan
우대조건: 없음
가입제한: 1
가입대상: 제한없음
가입방법: 영업점"
더케이저축은행,e-정기예금,"인터넷,스마트폰","-30일 이내 : 약정금리와 현행 고시금리중 낮은 이율
-30일 이후 : 보통예금 이율",없음,1,제한없음,"-인터넷뱅킹, 스마트폰뱅킹 전용",,1,1.0,1.0,"상품명: e-정기예금
금융회사: 더케이저축은행
기본금리: 1.0%
최고금리: 1.0%
저축기간: 1개월
최고한도: nan
우대조건: 없음
가입제한: 1
가입대상: 제한없음
가입방법: 인터넷,스마트폰"
더케이저축은행,회전식정기예금(1년단위 변동금리상품),영업점,"-30일 이내 : 약정금리와 현행 고시금리중 낮은 이율
-30일 이후 : 보통예금 이율",없음,1,제한없음,변동금리,,12,3.25,3.25,"상품명: 회전식정기예금(1년단위 변동금리상품)
금융회사: 더케이저축은행
기본금리: 3.25%
최고금리: 3.25%
저축기간: 12개월
최고한도: nan
우대조건: 없음
가입제한: 1
가입대상: 제한없음
가입방법: 영업점"
더케이저축은행,e-회전식정기예금(1년단위 변동금리상품),"인터넷,스마트폰","-30일 이내 : 약정금리와 현행 고시금리중 낮은 이율
-30일 이후 : 보통예금 이율",없음,1,제한없음,변동금리,,12,3.25,3.25,"상품명: e-회전식정기예금(1년단위 변동금리상품)
금융회사: 더케이저축은행
기본금리: 3.25%
최고금리: 3.25%
저축기간: 12개월
최고한도: nan
우대조건: 없음
가입제한: 1
가입대상: 제한없음
가입방법: 인터넷,스마트폰"
조은저축은행,정기예금(서울본점),영업점,"- 1개월이내 해지: 만기시 동일상품 동일계약기간의 신규약정금리
'- 1개월초과 이후 해지: 보통예금 이율",없음,1,제한없음,없음,,1,1.3,1.3,"상품명: 정기예금(서울본점)
금융회사: 조은저축은행
기본금리: 1.3%
최고금리: 1.3%
저축기간: 1개월
최고한도: nan
우대조건: 없음
가입제한: 1
가입대상: 제한없음
가입방법: 영업점"
조은저축은행,정기예금(여수지점),영업점,"- 1개월이내 해지: 만기시 동일상품 동일계약기간의 신규약정금리
'- 1개월초과 이후 해지: 보통예금 이율",없음,1,제한없음,없음,,1,1.3,1.3,"상품명: 정기예금(여수지점)
금융회사: 조은저축은행
기본금리: 1.3%
최고금리: 1.3%
저축기간: 1개월
최고한도: nan
우대조건: 없음
가입제한: 1
가입대상: 제한없음
가입방법: 영업점"
조은저축은행,e-정기예금,"인터넷,스마트폰","- 1개월이내 해지: 만기시 동일상품 동일계약기간의 신규약정금리
'- 1개월초과 이후 해지: 보통예금 이율",없음,1,제한없음,"인터넷, 스마트폰 전용",,1,1.3,1.3,"상품명: e-정기예금
금융회사: 조은저축은행
기본금리: 1.3%
최고금리: 1.3%
저축기간: 1개월
최고한도: nan
우대조건: 없음
가입제한: 1
가입대상: 제한없음
가입방법: 인터넷,스마트폰"
SBI저축은행,정기예금,"영업점,인터넷,스마트폰","- 만기 후 1개월 이하: 약정금리

- 만기 후 1개월 초과: 연0.2%",- 비대면(인터넷뱅킹 또는 사이다뱅크APP)우대금리 : 연0.1%,1,제한없음,없음,,1,1.85,1.95,"상품명: 정기예금
금융회사: SBI저축은행
기본금리: 1.85%
최고금리: 1.95%
저축기간: 1개월
최고한도: nan
우대조건: - 비대면(인터넷뱅킹 또는 사이다뱅크APP)우대금리 : 연0.1%
가입제한: 1
가입대상: 제한없음
가입방법: 영업점,인터넷,스마트폰"
SBI저축은행,정기예금(1년변동금리),"영업점,인터넷,스마트폰","- 만기 후 1개월 이하: 마지막 금리변동주기 약정금리

- 만기 후 1개월 초과: 연0.2%","- 비대면(인터넷뱅킹 또는 사이다뱅크APP)우대금리 : 연0.1%

- 금리변동주기우대금리 : 연0.1%",1,제한없음,-1년 마다 고시이율이 적용되는 변동금리 상품,,12,2.75,2.95,"상품명: 정기예금(1년변동금리)
금융회사: SBI저축은행
기본금리: 2.75%
최고금리: 2.95%
저축기간: 12개월
최고한도: nan
우대조건: - 비대면(인터넷뱅킹 또는 사이다뱅크APP)우대금리 : 연0.1%

- 금리변동주기우대금리 : 연0.1%
가입제한: 1
가입대상: 제한없음
가입방법: 영업점,인터넷,스마트폰"
