kor_co_nm,fin_prdt_nm,join_way,crdt_prdt_type_nm,crdt_lend_rate_type_nm,crdt_grad_1,crdt_grad_4,crdt_grad_5,crdt_grad_6,crdt_grad_10,crdt_grad_11,crdt_grad_avg,search_text
신한은행,개인신용대출(마이너스한도대출),"영업점,인터넷,스마트폰",마이너스한도대출,,2.59,2.6,2.58,2.7,3.17,3.17,2.59,"상품명: 개인신용대출(마이너스한도대출)
금융회사: 신한은행
대출유형: 마이너스한도대출
금리유형: nan
신용등급별금리:
- 900점초과: 2.59%
- 801-900점: 2.6%
- 701-800점: 2.58%
- 601-700점: 2.7%
- 501-600점: 3.17%
- 401-500점: 3.17%
평균금리: 2.59%
가입방법: 영업점,인터넷,스마트폰"
농협은행주식회사,가계신용대출(일반),영업점,일반신용대출,,2.68,3.03,3.8,4.68,7.12,8.05,2.83,"상품명: 가계신용대출(일반)
금융회사: 농협은행주식회사
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 2.68%
- 801-900점: 3.03%
- 701-800점: 3.8%
- 601-700점: 4.68%
- 501-600점: 7.12%
- 401-500점: 8.05%
평균금리: 2.83%
가입방법: 영업점"
농협은행주식회사,가계신용대출(마이너스대출),영업점,마이너스한도대출,,5.14,5.59,6.03,5.8,6.05,,5.23,"상품명: 가계신용대출(마이너스대출)
금융회사: 농협은행주식회사
대출유형: 마이너스한도대출
금리유형: nan
신용등급별금리:
- 900점초과: 5.14%
- 801-900점: 5.59%
- 701-800점: 6.03%
- 601-700점: 5.8%
- 501-600점: 6.05%
- 401-500점: nan%
평균금리: 5.23%
가입방법: 영업점"
농협은행주식회사,장기카드대출,"인터넷,스마트폰,전화(텔레뱅킹)",장기카드대출(카드론),,9.35,11.22,12.43,15.38,16.9,,12.32,"상품명: 장기카드대출
금융회사: 농협은행주식회사
대출유형: 장기카드대출(카드론)
금리유형: nan
신용등급별금리:
- 900점초과: 9.35%
- 801-900점: 11.22%
- 701-800점: 12.43%
- 601-700점: 15.38%
- 501-600점: 16.9%
- 401-500점: nan%
평균금리: 12.32%
가입방법: 인터넷,스마트폰,전화(텔레뱅킹)"
주식회사 하나은행,일반신용대출,"영업점,인터넷,스마트폰",일반신용대출,,2.67,2.77,3.06,3.24,3.38,2.79,2.76,"상품명: 일반신용대출
금융회사: 주식회사 하나은행
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 2.67%
- 801-900점: 2.77%
- 701-800점: 3.06%
- 601-700점: 3.24%
- 501-600점: 3.38%
- 401-500점: 2.79%
평균금리: 2.76%
가입방법: 영업점,인터넷,스마트폰"
주식회사 하나은행,마이너스한도대출,"영업점,인터넷,스마트폰",마이너스한도대출,,3.71,4.01,3.98,4.3,,,3.75,"상품명: 마이너스한도대출
금융회사: 주식회사 하나은행
대출유형: 마이너스한도대출
금리유형: nan
신용등급별금리:
- 900점초과: 3.71%
- 801-900점: 4.01%
- 701-800점: 3.98%
- 601-700점: 4.3%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 3.75%
가입방법: 영업점,인터넷,스마트폰"
주식회사 케이뱅크,신용대출,스마트폰,일반신용대출,,2.36,2.97,3.27,3.34,3.32,,2.74,"상품명: 신용대출
금융회사: 주식회사 케이뱅크
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 2.36%
- 801-900점: 2.97%
- 701-800점: 3.27%
- 601-700점: 3.34%
- 501-600점: 3.32%
- 401-500점: nan%
평균금리: 2.74%
가입방법: 스마트폰"
주식회사 케이뱅크,마이너스 통장 대출,스마트폰,마이너스한도대출,,5.69,6.17,6.74,7.66,,,5.74,"상품명: 마이너스 통장 대출
금융회사: 주식회사 케이뱅크
대출유형: 마이너스한도대출
금리유형: nan
신용등급별금리:
- 900점초과: 5.69%
- 801-900점: 6.17%
- 701-800점: 6.74%
- 601-700점: 7.66%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 5.74%
가입방법: 스마트폰"
수협은행,개인신용대출,"영업점,인터넷,스마트폰",일반신용대출,,1.22,0.76,1.0,0.26,,,1.12,"상품명: 개인신용대출
금융회사: 수협은행
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 1.22%
- 801-900점: 0.76%
- 701-800점: 1.0%
- 601-700점: 0.26%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 1.12%
가입방법: 영업점,인터넷,스마트폰"
수협은행,개인신용마이너스한도대출,"영업점,인터넷,스마트폰",마이너스한도대출,,0.99,0.36,,,,,0.9,"상품명: 개인신용마이너스한도대출
금융회사: 수협은행
대출유형: 마이너스한도대출
금리유형: nan
신용등급별금리:
- 900점초과: 0.99%
- 801-900점: 0.36%
- 701-800점: nan%
- 601-700점: nan%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 0.9%
가입방법: 영업점,인터넷,스마트폰"
주식회사 카카오뱅크,일반신용대출,스마트폰,일반신용대출,,4.63,4.81,5.33,6.15,4.2,6.28,4.83,"상품명: 일반신용대출
금융회사: 주식회사 카카오뱅크
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 4.63%
- 801-900점: 4.81%
- 701-800점: 5.33%
- 601-700점: 6.15%
- 501-600점: 4.2%
- 401-500점: 6.28%
평균금리: 4.83%
가입방법: 스마트폰"
주식회사 카카오뱅크,마이너스한도대출,스마트폰,마이너스한도대출,,5.21,6.95,7.03,7.0,,,6.75,"상품명: 마이너스한도대출
금융회사: 주식회사 카카오뱅크
대출유형: 마이너스한도대출
금리유형: nan
신용등급별금리:
- 900점초과: 5.21%
- 801-900점: 6.95%
- 701-800점: 7.03%
- 601-700점: 7.0%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 6.75%
가입방법: 스마트폰"
토스뱅크 주식회사,토스뱅크 마이너스 통장대출,스마트폰,마이너스한도대출,,5.61,6.0,6.63,8.46,,,6.15,"상품명: 토스뱅크 마이너스 통장대출
금융회사: 토스뱅크 주식회사
대출유형: 마이너스한도대출
금리유형: nan
신용등급별금리:
- 900점초과: 5.61%
- 801-900점: 6.0%
- 701-800점: 6.63%
- 601-700점: 8.46%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 6.15%
가입방법: 스마트폰"
토스뱅크 주식회사,토스뱅크 신용대출,스마트폰,일반신용대출,,2.54,2.54,2.55,2.57,2.59,2.69,2.54,"상품명: 토스뱅크 신용대출
금융회사: 토스뱅크 주식회사
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 2.54%
- 801-900점: 2.54%
- 701-800점: 2.55%
- 601-700점: 2.57%
- 501-600점: 2.59%
- 401-500점: 2.69%
평균금리: 2.54%
가입방법: 스마트폰"
현대카드㈜,장기카드대출,"인터넷,스마트폰",장기카드대출(카드론),,11.74,12.43,16.15,18.46,19.9,,14.77,"상품명: 장기카드대출
금융회사: 현대카드㈜
대출유형: 장기카드대출(카드론)
금리유형: nan
신용등급별금리:
- 900점초과: 11.74%
- 801-900점: 12.43%
- 701-800점: 16.15%
- 601-700점: 18.46%
- 501-600점: 19.9%
- 401-500점: nan%
평균금리: 14.77%
가입방법: 인터넷,스마트폰"
롯데카드㈜,일반신용대출,"인터넷,스마트폰,전화(텔레뱅킹),기타",일반신용대출,,11.77,15.17,17.16,17.73,,,14.6,"상품명: 일반신용대출
금융회사: 롯데카드㈜
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 11.77%
- 801-900점: 15.17%
- 701-800점: 17.16%
- 601-700점: 17.73%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 14.6%
가입방법: 인터넷,스마트폰,전화(텔레뱅킹),기타"
롯데카드㈜,장기카드대출,"인터넷,스마트폰,전화(텔레뱅킹),기타",장기카드대출(카드론),,11.74,12.43,16.15,18.46,19.9,,14.77,"상품명: 장기카드대출
금융회사: 롯데카드㈜
대출유형: 장기카드대출(카드론)
금리유형: nan
신용등급별금리:
- 900점초과: 11.74%
- 801-900점: 12.43%
- 701-800점: 16.15%
- 601-700점: 18.46%
- 501-600점: 19.9%
- 401-500점: nan%
평균금리: 14.77%
가입방법: 인터넷,스마트폰,전화(텔레뱅킹),기타"
비씨카드㈜,일반신용대출,"인터넷,스마트폰",일반신용대출,,11.77,15.17,17.16,17.73,,,14.6,"상품명: 일반신용대출
금융회사: 비씨카드㈜
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 11.77%
- 801-900점: 15.17%
- 701-800점: 17.16%
- 601-700점: 17.73%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 14.6%
가입방법: 인터넷,스마트폰"
비씨카드㈜,장기카드대출,"인터넷,스마트폰",장기카드대출(카드론),,11.74,12.43,16.15,18.46,19.9,,14.77,"상품명: 장기카드대출
금융회사: 비씨카드㈜
대출유형: 장기카드대출(카드론)
금리유형: nan
신용등급별금리:
- 900점초과: 11.74%
- 801-900점: 12.43%
- 701-800점: 16.15%
- 601-700점: 18.46%
- 501-600점: 19.9%
- 401-500점: nan%
평균금리: 14.77%
가입방법: 인터넷,스마트폰"
삼성카드㈜,일반신용대출,스마트폰,일반신용대출,,11.77,15.17,17.16,17.73,,,14.6,"상품명: 일반신용대출
금융회사: 삼성카드㈜
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 11.77%
- 801-900점: 15.17%
- 701-800점: 17.16%
- 601-700점: 17.73%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 14.6%
가입방법: 스마트폰"
삼성카드㈜,장기카드대출,"인터넷,스마트폰,기타",장기카드대출(카드론),,11.74,12.43,16.15,18.46,19.9,,14.77,"상품명: 장기카드대출
금융회사: 삼성카드㈜
대출유형: 장기카드대출(카드론)
금리유형: nan
신용등급별금리:
- 900점초과: 11.74%
- 801-900점: 12.43%
- 701-800점: 16.15%
- 601-700점: 18.46%
- 501-600점: 19.9%
- 401-500점: nan%
평균금리: 14.77%
가입방법: 인터넷,스마트폰,기타"
신한카드㈜,일반신용대출,"인터넷,스마트폰,전화(텔레뱅킹)",일반신용대출,,11.77,15.17,17.16,17.73,,,14.6,"상품명: 일반신용대출
금융회사: 신한카드㈜
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 11.77%
- 801-900점: 15.17%
- 701-800점: 17.16%
- 601-700점: 17.73%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 14.6%
가입방법: 인터넷,스마트폰,전화(텔레뱅킹)"
신한카드㈜,장기카드대출,"인터넷,스마트폰,전화(텔레뱅킹)",장기카드대출(카드론),,11.74,12.43,16.15,18.46,19.9,,14.77,"상품명: 장기카드대출
금융회사: 신한카드㈜
대출유형: 장기카드대출(카드론)
금리유형: nan
신용등급별금리:
- 900점초과: 11.74%
- 801-900점: 12.43%
- 701-800점: 16.15%
- 601-700점: 18.46%
- 501-600점: 19.9%
- 401-500점: nan%
평균금리: 14.77%
가입방법: 인터넷,스마트폰,전화(텔레뱅킹)"
오케이캐피탈 ㈜,일반신용대출,"인터넷,스마트폰",일반신용대출,,11.77,15.17,17.16,17.73,,,14.6,"상품명: 일반신용대출
금융회사: 오케이캐피탈 ㈜
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 11.77%
- 801-900점: 15.17%
- 701-800점: 17.16%
- 601-700점: 17.73%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 14.6%
가입방법: 인터넷,스마트폰"
한국캐피탈㈜,일반신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹),기타",일반신용대출,,11.77,15.17,17.16,17.73,,,14.6,"상품명: 일반신용대출
금융회사: 한국캐피탈㈜
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 11.77%
- 801-900점: 15.17%
- 701-800점: 17.16%
- 601-700점: 17.73%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 14.6%
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹),기타"
케이비캐피탈㈜,일반신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",일반신용대출,,11.77,15.17,17.16,17.73,,,14.6,"상품명: 일반신용대출
금융회사: 케이비캐피탈㈜
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 11.77%
- 801-900점: 15.17%
- 701-800점: 17.16%
- 601-700점: 17.73%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 14.6%
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
우리금융캐피탈㈜,일반신용대출,"인터넷,스마트폰,모집인,전화(텔레뱅킹)",일반신용대출,,11.77,15.17,17.16,17.73,,,14.6,"상품명: 일반신용대출
금융회사: 우리금융캐피탈㈜
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 11.77%
- 801-900점: 15.17%
- 701-800점: 17.16%
- 601-700점: 17.73%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 14.6%
가입방법: 인터넷,스마트폰,모집인,전화(텔레뱅킹)"
롯데캐피탈㈜,일반신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",일반신용대출,,11.77,15.17,17.16,17.73,,,14.6,"상품명: 일반신용대출
금융회사: 롯데캐피탈㈜
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 11.77%
- 801-900점: 15.17%
- 701-800점: 17.16%
- 601-700점: 17.73%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 14.6%
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
제이비우리캐피탈㈜,일반신용대출,"인터넷,스마트폰,모집인,전화(텔레뱅킹)",일반신용대출,,11.77,15.17,17.16,17.73,,,14.6,"상품명: 일반신용대출
금융회사: 제이비우리캐피탈㈜
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 11.77%
- 801-900점: 15.17%
- 701-800점: 17.16%
- 601-700점: 17.73%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 14.6%
가입방법: 인터넷,스마트폰,모집인,전화(텔레뱅킹)"
하나캐피탈㈜,일반신용대출,"영업점,스마트폰,모집인",일반신용대출,,11.77,15.17,17.16,17.73,,,14.6,"상품명: 일반신용대출
금융회사: 하나캐피탈㈜
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 11.77%
- 801-900점: 15.17%
- 701-800점: 17.16%
- 601-700점: 17.73%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 14.6%
가입방법: 영업점,스마트폰,모집인"
현대캐피탈㈜,일반신용대출,"인터넷,스마트폰,모집인,전화(텔레뱅킹)",일반신용대출,,11.77,15.17,17.16,17.73,,,14.6,"상품명: 일반신용대출
금융회사: 현대캐피탈㈜
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 11.77%
- 801-900점: 15.17%
- 701-800점: 17.16%
- 601-700점: 17.73%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 14.6%
가입방법: 인터넷,스마트폰,모집인,전화(텔레뱅킹)"
미래에셋캐피탈㈜,일반신용대출,스마트폰,일반신용대출,,11.77,15.17,17.16,17.73,,,14.6,"상품명: 일반신용대출
금융회사: 미래에셋캐피탈㈜
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 11.77%
- 801-900점: 15.17%
- 701-800점: 17.16%
- 601-700점: 17.73%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 14.6%
가입방법: 스마트폰"
현대커머셜㈜,일반신용대출,"인터넷,스마트폰,전화(텔레뱅킹)",일반신용대출,,11.77,15.17,17.16,17.73,,,14.6,"상품명: 일반신용대출
금융회사: 현대커머셜㈜
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 11.77%
- 801-900점: 15.17%
- 701-800점: 17.16%
- 601-700점: 17.73%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 14.6%
가입방법: 인터넷,스마트폰,전화(텔레뱅킹)"
엔에이치농협캐피탈㈜,일반신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹),기타",일반신용대출,,11.77,15.17,17.16,17.73,,,14.6,"상품명: 일반신용대출
금융회사: 엔에이치농협캐피탈㈜
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 11.77%
- 801-900점: 15.17%
- 701-800점: 17.16%
- 601-700점: 17.73%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 14.6%
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹),기타"
㈜아이엠캐피탈,일반신용대출,"인터넷,스마트폰,모집인,기타",일반신용대출,,11.77,15.17,17.16,17.73,,,14.6,"상품명: 일반신용대출
금융회사: ㈜아이엠캐피탈
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 11.77%
- 801-900점: 15.17%
- 701-800점: 17.16%
- 601-700점: 17.73%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 14.6%
가입방법: 인터넷,스마트폰,모집인,기타"
비엔케이캐피탈㈜,일반신용대출,"인터넷,스마트폰,모집인",일반신용대출,,11.77,15.17,17.16,17.73,,,14.6,"상품명: 일반신용대출
금융회사: 비엔케이캐피탈㈜
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 11.77%
- 801-900점: 15.17%
- 701-800점: 17.16%
- 601-700점: 17.73%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 14.6%
가입방법: 인터넷,스마트폰,모집인"
㈜케이비국민카드,일반신용대출,"영업점,인터넷,스마트폰,전화(텔레뱅킹)",일반신용대출,,11.77,15.17,17.16,17.73,,,14.6,"상품명: 일반신용대출
금융회사: ㈜케이비국민카드
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 11.77%
- 801-900점: 15.17%
- 701-800점: 17.16%
- 601-700점: 17.73%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 14.6%
가입방법: 영업점,인터넷,스마트폰,전화(텔레뱅킹)"
㈜케이비국민카드,장기카드대출,"영업점,인터넷,스마트폰,전화(텔레뱅킹)",장기카드대출(카드론),,11.74,12.43,16.15,18.46,19.9,,14.77,"상품명: 장기카드대출
금융회사: ㈜케이비국민카드
대출유형: 장기카드대출(카드론)
금리유형: nan
신용등급별금리:
- 900점초과: 11.74%
- 801-900점: 12.43%
- 701-800점: 16.15%
- 601-700점: 18.46%
- 501-600점: 19.9%
- 401-500점: nan%
평균금리: 14.77%
가입방법: 영업점,인터넷,스마트폰,전화(텔레뱅킹)"
메리츠캐피탈㈜,일반신용대출,전화(텔레뱅킹),일반신용대출,,11.77,15.17,17.16,17.73,,,14.6,"상품명: 일반신용대출
금융회사: 메리츠캐피탈㈜
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 11.77%
- 801-900점: 15.17%
- 701-800점: 17.16%
- 601-700점: 17.73%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 14.6%
가입방법: 전화(텔레뱅킹)"
㈜우리카드,장기카드대출,"인터넷,스마트폰,전화(텔레뱅킹)",장기카드대출(카드론),,11.74,12.43,16.15,18.46,19.9,,14.77,"상품명: 장기카드대출
금융회사: ㈜우리카드
대출유형: 장기카드대출(카드론)
금리유형: nan
신용등급별금리:
- 900점초과: 11.74%
- 801-900점: 12.43%
- 701-800점: 16.15%
- 601-700점: 18.46%
- 501-600점: 19.9%
- 401-500점: nan%
평균금리: 14.77%
가입방법: 인터넷,스마트폰,전화(텔레뱅킹)"
하나카드㈜,일반신용대출,스마트폰,일반신용대출,,11.77,15.17,17.16,17.73,,,14.6,"상품명: 일반신용대출
금융회사: 하나카드㈜
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 11.77%
- 801-900점: 15.17%
- 701-800점: 17.16%
- 601-700점: 17.73%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 14.6%
가입방법: 스마트폰"
하나카드㈜,장기카드대출,"인터넷,스마트폰,전화(텔레뱅킹),기타",장기카드대출(카드론),,11.74,12.43,16.15,18.46,19.9,,14.77,"상품명: 장기카드대출
금융회사: 하나카드㈜
대출유형: 장기카드대출(카드론)
금리유형: nan
신용등급별금리:
- 900점초과: 11.74%
- 801-900점: 12.43%
- 701-800점: 16.15%
- 601-700점: 18.46%
- 501-600점: 19.9%
- 401-500점: nan%
평균금리: 14.77%
가입방법: 인터넷,스마트폰,전화(텔레뱅킹),기타"
한국투자캐피탈㈜,일반신용대출,"인터넷,스마트폰,모집인",일반신용대출,,11.77,15.17,17.16,17.73,,,14.6,"상품명: 일반신용대출
금융회사: 한국투자캐피탈㈜
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 11.77%
- 801-900점: 15.17%
- 701-800점: 17.16%
- 601-700점: 17.73%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 14.6%
가입방법: 인터넷,스마트폰,모집인"
애큐온저축은행,개인신용대출,"인터넷,스마트폰,모집인",일반신용대출,,15.43,15.64,16.39,16.9,,,16.39,"상품명: 개인신용대출
금융회사: 애큐온저축은행
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 15.43%
- 801-900점: 15.64%
- 701-800점: 16.39%
- 601-700점: 16.9%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 16.39%
가입방법: 인터넷,스마트폰,모집인"
OSB저축은행,개인신용대출,"인터넷,스마트폰",일반신용대출,,13.73,14.27,15.57,17.58,18.08,,15.31,"상품명: 개인신용대출
금융회사: OSB저축은행
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 13.73%
- 801-900점: 14.27%
- 701-800점: 15.57%
- 601-700점: 17.58%
- 501-600점: 18.08%
- 401-500점: nan%
평균금리: 15.31%
가입방법: 인터넷,스마트폰"
디비저축은행,개인신용대출,"스마트폰,모집인",일반신용대출,,11.02,11.31,11.66,12.42,,,11.52,"상품명: 개인신용대출
금융회사: 디비저축은행
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 11.02%
- 801-900점: 11.31%
- 701-800점: 11.66%
- 601-700점: 12.42%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 11.52%
가입방법: 스마트폰,모집인"
키움예스저축은행,개인신용대출,"인터넷,스마트폰,모집인",일반신용대출,,16.05,15.04,15.1,15.51,,,15.14,"상품명: 개인신용대출
금융회사: 키움예스저축은행
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 16.05%
- 801-900점: 15.04%
- 701-800점: 15.1%
- 601-700점: 15.51%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 15.14%
가입방법: 인터넷,스마트폰,모집인"
SBI저축은행,개인신용대출,"인터넷,스마트폰,모집인,전화(텔레뱅킹)",일반신용대출,,10.25,11.23,11.85,12.44,12.39,,11.77,"상품명: 개인신용대출
금융회사: SBI저축은행
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 10.25%
- 801-900점: 11.23%
- 701-800점: 11.85%
- 601-700점: 12.44%
- 501-600점: 12.39%
- 401-500점: nan%
평균금리: 11.77%
가입방법: 인터넷,스마트폰,모집인,전화(텔레뱅킹)"
다올저축은행,개인신용대출,"인터넷,스마트폰,모집인,전화(텔레뱅킹)",일반신용대출,,15.9,14.69,15.34,16.55,,,15.31,"상품명: 개인신용대출
금융회사: 다올저축은행
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 15.9%
- 801-900점: 14.69%
- 701-800점: 15.34%
- 601-700점: 16.55%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 15.31%
가입방법: 인터넷,스마트폰,모집인,전화(텔레뱅킹)"
고려저축은행,개인신용대출,"인터넷,스마트폰,모집인,전화(텔레뱅킹)",일반신용대출,,12.99,13.06,12.6,13.11,13.71,,13.08,"상품명: 개인신용대출
금융회사: 고려저축은행
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 12.99%
- 801-900점: 13.06%
- 701-800점: 12.6%
- 601-700점: 13.11%
- 501-600점: 13.71%
- 401-500점: nan%
평균금리: 13.08%
가입방법: 인터넷,스마트폰,모집인,전화(텔레뱅킹)"
모아저축은행,개인신용대출,"인터넷,스마트폰,모집인",일반신용대출,,19.17,19.3,19.5,19.54,19.0,,19.49,"상품명: 개인신용대출
금융회사: 모아저축은행
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 19.17%
- 801-900점: 19.3%
- 701-800점: 19.5%
- 601-700점: 19.54%
- 501-600점: 19.0%
- 401-500점: nan%
평균금리: 19.49%
가입방법: 인터넷,스마트폰,모집인"
MS저축은행,개인신용대출,"영업점,모집인",일반신용대출,,,16.9,17.51,17.0,,,17.6,"상품명: 개인신용대출
금융회사: MS저축은행
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: nan%
- 801-900점: 16.9%
- 701-800점: 17.51%
- 601-700점: 17.0%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 17.6%
가입방법: 영업점,모집인"
키움저축은행,개인신용대출,"인터넷,스마트폰,모집인",일반신용대출,,9.93,10.4,10.59,11.97,,,10.6,"상품명: 개인신용대출
금융회사: 키움저축은행
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 9.93%
- 801-900점: 10.4%
- 701-800점: 10.59%
- 601-700점: 11.97%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 10.6%
가입방법: 인터넷,스마트폰,모집인"
세람저축은행,개인신용대출,"스마트폰,모집인,전화(텔레뱅킹)",일반신용대출,,,14.38,13.84,13.81,,,17.12,"상품명: 개인신용대출
금융회사: 세람저축은행
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: nan%
- 801-900점: 14.38%
- 701-800점: 13.84%
- 601-700점: 13.81%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 17.12%
가입방법: 스마트폰,모집인,전화(텔레뱅킹)"
